seller,seller return rate,seller rating,Number of units sold,Number of Units Returned,brand,product type,listing price
15159,0,0.53,2,0,estee lauder,beautiful fragrance,88
15853,0,0.8,1,0,dior,mens dior (fragrances),71
16326,0,0.75,2,0,john lobb,sneakers (footwear),88
16647,0,0.5,1,0,dress the population,cocktail dress,84
17397,0,0.55,1,0,farm rio,outerwear,63
17536,0,0.98,1,0,farm rio,outerwear,67
18010,0,0.37,15,0,babybjorn,carrier,78
18568,0,0.62,3,0,l'agence,jacket,100
18862,0,1,1,0,l'agence,jacket,90
18960,0,0.57,2,0,off-white,tops,84
19340,0,0.43,3,0,mac duggal,gown,83
19955,0,0.38,2,0,etro,blouse,83
12553,0,0.3,1,0,dolce&gabbana,gown,1259
15305,0,0.97,1,0,off-white,knit,263
3311,0,0.58,1,0,farm rio,blouse,130
14718,0,1,1,0,ag jeans,skinny,200
5818,0,0.32,2,0,good american,straight,69
10319,0,0.64,4,0,zegna,zegna belts,263
11387,0,0.69,2,0,mac duggal,cocktail dress,419
15329,0,0.97,7,0,norwegian wool,woven sportswear,1537
15444,0,0.66,3,0,silvia tcherassi,dresses,1043
16646,0,0.34,1,0,saks fifth avenue collection,earrings,1428
19783,0,0.3,2,0,cinq a sept,dresses,627
2926,0,0.55,1,0,cult gaia,booties,391
3185,0,0.37,2,0,alice + olivia,dresses,347
5625,0,0.76,3,0,alice + olivia,dresses,347
5948,0,0.3,2,0,alice + olivia,dresses,347
7773,0,0.46,32,0,moncler,knit,697
8621,0,0.98,1,0,simone perele,simone perele bras,74
11530,0,0.45,1,0,ferragamo,drivers,627
13528,0,0.8,139,0,carolina amato,carolina amato cold weather ac,105
16126,0,0.69,1,0,alice + olivia,dresses,347
16635,0,0.31,2,0,giorgio armani,sportswear knits,277
16785,0,0.43,6,0,alexander mcqueen,booties,693
18606,0,0.55,1,0,"nic+zoe, petites",pants,97
5070,0,0.64,9,0,giorgio armani,sportswear trousers,347
8752,0,0.65,1,0,veronica beard,pants,277
13907,0,0.98,1,0,un deux trois,dress,154
3247,0,0.37,3,0,teri jon by rickie freeman,gown,462
12450,0,0.64,6,0,self-portrait,dresses,406
3282,0,0.63,1,0,l'agence,blouse,315
7248,0,0.64,2,0,badgley mischka,gown,623
9781,0,0.7,6,0,eileen fisher,dresses,195
11165,0,0.42,2,0,prada,high heel sandals,945
12832,0,0.3,17,0,generation love,jacket,270
14409,0,0.99,1,0,amur,dresses,419
14712,0,0.81,9,0,vineyard vines,dresses,160
18226,0,0.98,4,0,alexander mcqueen,fashion handbags,903
19165,0,0.95,1,0,jan leslie,jan leslie jewelry,277
19216,0,0.7,4,0,zoe,girl dress,107
15937,0,0.88,2,0,rag & bone,slides,137
16581,0,0.83,2,0,camilla,tops,384
5672,0,0.75,1,0,johnny was,blouse,217
9550,0,0.66,14,0,a.w.a.k.e. mode,tops,368
775,0,0.68,1,0,manolo blahnik,mules,557
1303,0,0.86,2,0,trina turk,tops,174
1520,0,0.67,1,0,trina turk,tops,174
3908,0,0.91,2,0,dolce&gabbana,dolce & gabbana,340
5371,0,0.52,2,0,schutz,high heel sandals,83
7508,0,0.98,1,0,vix by paula hermanny,1 pc bathing suit,174
8347,0,0.74,2,0,teri jon by rickie freeman,gown,553
8859,0,0.86,86,0,teri jon by rickie freeman,gown,553
9041,0,0.95,1,0,orlebar brown,orlebar brown (beachwear),172
9319,0,0.41,3,0,versace jeans couture,sweatshirt,333
9472,0,0.95,1,0,alice + olivia,jumpsuit,308
9616,0,0.7,7,0,aje,dresses,417
14226,0,0.47,1,0,zimmermann,1 pc bathing suit,231
14243,0,0.56,2,0,simon miller,dresses,139
14244,0,0.31,5,0,halston,dresses,347
15169,0,0.68,1,0,melissa odabash,1 pc bathing suit,177
17063,0,0.39,1,0,barefoot dreams,bottoms,48
17167,0,0.93,3,0,rhode,dresses,403
17398,0,0.3,1,0,bellabu bear,pajamas,20
19591,0,0.82,3,0,profile by gottex,tankini,66
14480,0,0.66,7,0,aidan mattox,gown,347
836,0,0.54,61,0,stone island,wovens,427
2639,0,0.93,1,0,casta?er,wedges,165
5750,0,0.75,1,0,rick owens,sweater,431
5840,0,0.5,3,0,ag jeans,boot,158
8623,0,0.88,3,0,elie tahari,pants,228
19139,0,0.77,1,0,elie tahari,pants,228
61,0,0.62,1,0,puma,sneakers,63
120,0,0.32,1,0,zegna,knits,277
3161,0,0.89,7,0,hatley,dress,34
3461,0,0.49,2,0,dress the population,gown,195
4268,0,0.52,1,0,everafter,2pc/3pc set (rtw),69
13083,0,0.56,1,0,kate spade new york,high heel sandals,160
13934,0,0.91,5,0,solid & striped,1 pc bathing suit,132
14697,0,0.67,1,0,re/done,shorts,130
15250,0,0.62,1,0,shhhowercap,shhhowercap,30
16229,0,0.98,3,0,shhhowercap,shhhowercap,30
16716,0,0.44,2,0,shhhowercap,shhhowercap,30
19446,0,0.68,2,0,shhhowercap,shhhowercap,30
19514,0,0.59,1,0,stone island,trousers,282
19909,0,0.7,1,0,sandro,sandro rtw,228
16975,0,0.67,2,0,alice + olivia,knits,308
1936,0,0.72,1,0,dolce&gabbana,d&g lt blue mens (fragrance),56
3242,0,0.49,9,0,mac duggal,cocktail dress,279
7478,0,0.55,1,0,wayf,knits,62
10363,0,0.63,160,0,splendid,knits,125
14242,0,0.52,3,0,paige,shorts,118
15045,0,0.86,2,0,weekend max mara,blouses,105
18213,0,0.79,2,0,polo ralph lauren,sweaters/cardigans,42
18551,0,0.62,1,0,polo ralph lauren,sweaters/cardigans,42
9184,0,0.52,3,0,polo ralph lauren,tops,46
2775,0,0.8,2,0,diesel,diesel (rtw),209
11037,0,0.82,1,0,aquatalia,weather boots,455
18199,0,0.94,1,0,salomon,sneakers (footwear),133
1245,0,0.54,1,0,alice + olivia,blouse,231
5552,0,0.52,1,0,tory burch,sneakers,195
6353,0,0.66,4,0,tory burch,sneakers,195
6354,0,0.69,1,0,tory burch,sneakers,195
13372,0,0.92,13,0,good american,straight,102
14572,0,0.77,1,0,black halo,cocktail dress,305
18469,0,0.45,1,0,black halo,cocktail dress,305
522,0,0.36,3,0,good american,pants,90
3395,0,0.59,1,0,marchesa notte,cocktail dress,277
1956,0,0.78,1,0,marchesa notte,cocktail dress,487
8667,0,0.81,11,0,bombas,design hosiery,25
17254,0,0.58,1,0,versace,sweatshirt,718
261,0,0.82,2,0,blanca,shorts,104
654,0,0.9,6,0,brunello cucinelli,sweaters,2027
957,0,0.85,5,0,mini rodini,girl bottoms,35
2123,0,0.31,1,0,miraclesuit swim,1 pc bathing suit,132
3545,0,0.33,2,0,eberjey,eberjey (sleepwear),69
4976,0,0.87,59,0,eberjey,eberjey (sleepwear),69
5184,0,0.75,1,0,akris punto,dresses,973
5306,0,0.82,1,0,vix by paula hermanny,short coverup (swimwear),132
5951,0,0.42,13,0,donna karan new york,dresses,228
6068,0,0.48,1,0,swarovski,swarovski jewelry,81
6637,0,0.36,1,0,melissa odabash,short coverup (swimwear),187
6919,0,0.44,1,0,melissa odabash,short coverup (swimwear),187
7090,0,0.57,2,0,faithfull the brand,dresses,209
7147,0,0.46,1,0,fame and partners,gown,195
7259,0,0.45,1,0,zimmermann,dresses,805
7594,0,0.83,2,0,mercedes castillo,high heel sandals,298
7846,0,0.65,1,0,rhone,rhone apparel,62
8878,0,0.47,2,0,firsts by petit lem,2pc/3pc set (rtw),28
9179,0,0.95,1,0,vince,slippers (footwear),88
9396,0,0.95,3,0,havaianas,flip flops,24
9474,0,0.62,3,0,cinq a sept,dresses,326
9558,0,0.38,2,0,farm rio,dresses,116
9886,0,0.59,43,0,farm rio,dresses,116
11250,0,0.5,5,0,farm rio,dresses,116
11309,0,0.61,2,0,farm rio,dresses,116
11390,0,0.31,1,0,farm rio,dresses,116
12000,0,0.39,1,0,farm rio,dresses,116
12910,0,0.65,1,0,farm rio,dresses,116
12919,0,0.73,1,0,l'agence,t-shirt,67
14044,0,0.31,1,0,l'agence,t-shirt,67
14209,0,0.36,4,0,saint laurent,ysl small leather goods,193
14213,0,0.84,1,0,veronica beard,pants,300
14591,0,0.68,3,0,john varvatos,knits,132
14660,0,0.52,3,0,balenciaga,sneakers,945
15299,0,0.91,1,0,saint laurent,ysl handbags,1953
15383,0,0.98,1,0,saint laurent,ysl handbags,1953
15416,0,0.69,3,0,ugg,ugg (cold weather accessories),56
15661,0,0.89,1,0,ugg,ugg (cold weather accessories),56
15897,0,0.98,3,0,valentino garavani,high heel sandals,840
15982,0,0.63,1,0,farm rio,dresses,193
16237,0,0.85,1,0,farm rio,dresses,193
16556,0,0.97,1,0,theory,pants,123
16685,0,0.86,10,0,gestuz,dresses,140
16837,0,0.52,1,0,etro,blouse,385
17062,0,0.54,9,0,wales bonner,tops,235
17134,0,0.72,8,0,raquel allegra,dresses,403
17344,0,0.55,3,0,le jean,straight,186
17907,0,0.85,3,0,proenza schouler,dresses,763
17976,0,0.48,1,0,alice + olivia,dresses,263
18016,0,0.93,2,0,alice + olivia,dresses,263
18871,0,0.73,1,0,alice + olivia,dresses,263
19902,0,0.82,2,0,shani,cocktail dress,252
8439,0,0.79,67,0,shani,cocktail dress,252
9592,0,0.72,1,0,loulou studio,knits,266
2422,0,0.38,1,0,johnny was,blouse,193
2423,0,0.36,2,0,freecity,pants,104
19393,0,0.82,1,0,freecity,pants,104
12494,0,0.37,1,0,freecity,pants,104
469,0,0.52,2,0,freecity,pants,104
1797,0,0.7,1,0,freecity,pants,104
3905,0,0.66,1,0,polo ralph lauren,outerwear,123
7925,0,0.99,21,0,balmain,tops,208
7926,0,0.55,1,0,aje,dresses,417
8849,0,0.98,1,0,comme des garcons play,sneakers (footwear),105
8850,0,0.41,91,0,endless rose,clothing,49
13568,0,0.99,1,0,black halo,cocktail dress,242
13586,0,0.71,2,0,black halo,cocktail dress,242
14867,0,0.46,1,0,burberry,outerwear,945
14868,0,0.42,4,0,burberry,outerwear,945
18146,0,0.92,1,0,puma,trousers,116
19511,0,0.48,1,0,ramy brook,short coverup (swimwear),207
167,0,0.79,1,0,theory,outerwear,529
601,0,0.3,1,0,veja,sneakers,130
776,0,0.33,5,0,sam.,outerwear,419
791,0,0.56,4,0,akris punto,dresses,973
795,0,0.86,2,0,barbour,outerwear,168
823,0,0.53,2,0,staud,dresses,263
1001,0,0.88,6,0,sandro,sandro rtw,154
1034,0,0.32,3,0,chilewich,tablecloths/runners,42
1575,0,0.95,1,0,peixoto,cover up tops,56
1687,0,0.5,1,0,peixoto,cover up tops,56
1817,0,0.43,1,0,andrea iyamah,bathing suit bottom,74
2301,0,0.91,1,0,palais des thes,gourmet,13
2408,0,0.39,42,0,palais des thes,gourmet,9
2842,0,0.89,1,0,tory burch,small leather goods,188
3274,0,0.49,1,0,valentino garavani,valentino belts,413
3473,0,0.86,11,0,halston,gown,277
3703,0,0.91,4,0,mother,crop,174
3843,0,0.73,8,0,rag & bone,flare,158
4226,0,1,12,0,estee lauder,repair / treatment,57
4347,0,0.59,2,0,chiara boni la petite robe,cocktail dress,525
4959,0,0.53,2,0,r13,knit,487
4990,0,0.32,5,0,leset,tops,62
5711,0,0.49,1,0,akris punto,dresses,627
6117,0,0.72,1,0,faithfull the brand,dresses,230
6445,0,0.77,6,0,magicsuit,1 pc bathing suit,143
6796,0,0.61,9,0,ungaro,tops,347
7103,0,0.38,4,0,melissa odabash,1 pc bathing suit,177
7179,0,0.31,1,0,chloe,booties,368
7235,0,0.96,1,0,black halo,cocktail dress,273
7572,0,0.85,2,0,amsale,cocktail dress,270
7669,0,0.67,4,0,kay unger,cocktail dress,202
7847,0,0.76,1,0,longchamp,longchamp handbags,476
7857,0,0.77,6,0,rag & bone,sneakers,158
7905,0,0.43,1,0,shoshanna,cocktail dress,368
8200,0,0.57,2,0,isabel marant,isabel marant handbags,175
8244,0,0.84,1,0,st. john,dresses,767
8256,0,0.74,4,0,alexander mcqueen,sneakers,364
8635,0,0.95,1,0,loewe,blouse,665
8777,0,0.99,5,0,saint laurent,ysl mp m clothing,1036
8803,0,0.8,2,0,a.l.c.,dresses,417
8821,0,0.57,1,0,bugatchi,bugatchi mens,116
9068,0,0.84,2,0,lafayette 148 new york,dresses,699
9538,0,0.48,1,0,lafayette 148 new york,dresses,699
9746,0,0.79,1,0,arizona love,flat sandals,168
10184,0,0.39,1,0,cult gaia,high heel sandals,321
10684,0,0.41,5,0,alice + olivia,jacket,557
10721,0,0.71,13,0,jason wu collection,dresses,1187
10797,0,0.63,2,0,avirex,outerwear,489
10949,0,0.49,4,0,hunza g,1 pc bathing suit,144
11408,0,0.84,2,0,kappa,bottoms,39
11511,0,0.99,1,0,joanna vargas,joanna vargas (skincare),21
11541,0,0.73,1,0,lna,tops,69
11760,0,0.64,2,0,averie sleep,modern sleepwear,95
12089,0,0.95,1,0,isabel marant etoile,outerwear,382
12230,0,0.41,1,0,milly minis,girl dress,137
12322,0,0.78,5,0,mepra,dropship serveware,70
13154,0,0.82,4,0,lacoste,boy bottoms,35
13760,0,0.62,1,0,rag & bone,denim,158
14487,0,0.45,3,0,polo ralph lauren,tops,18
14739,0,0.31,3,0,shoshanna,cocktail dress,279
15028,0,0.39,3,0,givenchy,pants,693
15326,0,0.43,2,0,see by chloe,drivers,263
15611,0,0.36,1,0,schutz,high heel sandals,83
16343,0,0.46,1,0,johnny was,bathing suit bottom,62
16787,0,0.64,1,0,mini molly,girl tops,29
17205,0,0.64,2,0,agua by agua bendita,short coverup (swimwear),357
17212,0,0.55,1,0,versace jeans couture,knits,193
17559,0,0.91,1,0,trish mcevoy,trish treatment,245
17615,0,0.45,1,0,alice + olivia,skirt,245
17905,0,0.86,3,0,aidan mattox,cocktail dress,103
18096,0,0.92,1,0,dolce&gabbana,dolce & gabbana underwear,46
18176,0,0.74,1,0,agua bendita,bathing suit bottom,91
18703,0,0.87,1,0,bell,dresses,282
18967,0,0.63,1,0,kendall + kylie,jewelry sets,21
19290,0,0.55,3,0,peter millar,peter millar knits,66
19475,0,0.62,1,0,twp,blouse,315
19545,0,0.63,1,0,twp,blouse,315
13329,0,0.73,1,0,rails,dresses,139
17589,0,0.98,1,0,sam edelman,high heel sandals,98
5724,0,0.35,1,0,zimmermann,dresses,805
9488,0,0.68,1,0,sandy liang,blouse,98
13058,0,0.89,1,0,zwilling j.a. henckels,dropship kitchenware,28
12,0,0.63,1,0,mac duggal,cocktail dress,405
3409,0,0.47,1,0,sea,skirt,242
8853,0,0.56,1,0,timex,tx watch,62
9049,0,0.46,1,0,polo ralph lauren,tops,104
9711,0,0.68,1,0,milly,pants,263
17350,0,0.73,2,0,johnny was,dresses,147
18401,0,0.6,2,0,see by chloe,booties,347
11139,0,0.96,2,0,michael michael kors,booties,123
16143,0,0.33,5,0,reiss,dresses,280
1115,0,1,5,0,mac duggal,gown,349
3365,0,0.47,1,0,ferragamo,high heel sandals,627
3920,0,0.78,2,0,givenchy,sandals (footwear),228
4045,0,0.41,2,0,skin,skin (intimate apparel),104
6279,0,0.57,3,0,mackage,outerwear,945
9599,0,0.79,4,0,chaser,tops,31
10120,0,0.81,3,0,milly,dresses,298
10759,0,0.77,2,0,rag & bone,shorts,137
11276,0,0.65,2,0,amiri,amiri accessories,224
11340,0,0.73,4,0,a.l.c.,dresses,385
13313,0,0.57,1,0,simkhai,knit,207
14134,0,0.45,1,0,mother,knit,245
15106,0,0.54,1,0,maje,maje rtw,186
18063,0,0.75,1,0,weworewhat,bathing suit bottom,67
18441,0,0.4,1,0,mac duggal,cocktail dress,251
11559,0,0.95,2,0,david yurman,david yurman ja bracelets,245
14851,0,0.38,1,0,comme des garcons play,sneakers (footwear),105
3837,0,0.92,1,0,comme des garcons play,sneakers (footwear),105
5269,0,0.58,2,0,frame,t-shirt,69
7108,0,0.55,1,0,frame,knit,300
11333,0,0.78,1,0,frame,knit,300
13688,0,0.4,3,0,c&c california,luggage,2030
15433,0,0.59,2,0,eileen fisher,cardigan,139
16109,0,0.99,3,0,sophia webster,high heel sandals,525
17760,0,0.69,11,0,salvatore ferragamo,wedges,665
18142,0,0.61,1,0,salvatore ferragamo,wedges,665
8588,0,0.79,1,0,salvatore ferragamo,wedges,665
341,0,0.63,4,0,kissy kissy,christening,161
3347,0,0.7,39,0,aera,flat sandals,315
4808,0,0.86,658,0,kiki de montparnasse,kiki de montparnasse (intimate,132
16749,0,0.88,1,0,splendid,pants,125
18858,0,0.44,4,0,plan c,dresses,882
280,0,0.33,1,0,mami wata,mami wata swim,67
4473,0,0.62,3,0,mami wata,mami wata swim,67
8717,0,0.66,1,0,ag jeans,jacket,151
10137,0,0.61,2,0,ugg x telfar,weather boots,175
15822,0,0.68,1,0,camilla,giftsets,90
18567,0,0.68,2,0,camilla,long coverup (swimwear),524
18900,0,0.95,1,0,orlebar brown,orlebar brown (beachwear),263
19845,0,0.51,5,0,525 america,dresses,90
5456,0,0.37,1,0,525 america,dresses,90
82,0,0.31,6,0,giambattista valli,pumps,896
16746,0,0.65,1,0,sofia cashmere,decorative home,137
19302,0,0.79,1,0,st. john,skirt,487
8991,0,0.33,350,1,misook,pants,181
48,0,0.32,2,0,self-portrait,dresses,410
1836,0,0.79,2,0,versace,woven,1068
4293,0,0.92,3,0,cinq a sept,jacket,298
4578,0,0.48,2,0,cinq a sept,jacket,298
4769,0,0.3,1,0,heroine sport,legging,69
5881,0,0.86,11,0,chiara boni la petite robe,cocktail dress,525
6545,0,0.32,45,0,teri jon by rickie freeman,cocktail dress,476
11327,0,0.87,2,0,halston,dresses,263
11626,0,0.34,2,0,casta?er,espadrilles,105
11697,0,0.66,2,0,chanel,chanel foundation,33
11950,0,0.4,1,0,spanx,spanx activewear,104
14416,0,0.43,1,0,spanx,spanx activewear,104
15240,0,0.72,7,0,joe's jeans,dresses,174
15967,0,0.59,4,0,generation love,blouse,139
16091,0,0.97,2,0,citizens of humanity,crop,153
16848,0,0.82,3,0,heron preston,heron preston acsrs,112
17426,0,0.96,1,0,frame,straight,151
17719,0,0.71,1,0,frame,straight,151
18802,0,0.94,4,0,herno,outerwear,585
18987,0,0.63,3,0,p.e nation,legging,84
19152,0,0.37,104,0,p.e nation,legging,84
19771,0,0.58,1,0,rachel comey,dresses,522
354,0,0.61,10,0,mac duggal,cocktail dress,419
381,0,0.84,1,0,moncler,outerwear,1960
500,0,0.53,1,0,mac duggal,gown,209
555,0,0.74,1,0,janie and jack,girl overall/romper/shortall,34
667,0,0.57,3,0,cinq a sept,dresses,277
850,0,0.71,1,0,vince,t-shirt,77
889,0,0.92,1,0,bronx and banco,cocktail dress,595
960,0,0.66,1,0,inge's christmas decor,ornaments,20
1089,0,0.37,1,0,vera wang bride,gown,277
1423,0,0.56,2,0,vera wang bride,gown,277
1839,0,0.49,1,0,mac duggal,gown,279
1854,0,0.51,2,0,mac duggal,gown,279
2306,0,0.44,19,0,mac duggal,gown,279
2507,0,0.95,2,0,theia,gown,662
2614,0,0.8,2,0,loulou studio,dresses,266
2753,0,0.91,27,0,new balance,sneakers,70
2964,0,0.9,14,0,aje,skirt,249
3086,0,0.32,2,0,aje,skirt,249
3102,0,0.48,1,0,aje,skirt,249
3240,0,0.73,4,0,norma kamali,evening pant,102
3290,0,0.61,1,0,coach,jellies,67
3301,0,0.5,1,0,mac duggal,gown,419
3338,0,0.83,2,0,ramy brook,bathing suit bottom,76
3343,0,0.97,1,0,elliatt,cocktail dress,188
3362,0,0.65,2,0,lavish alice,cocktail dress,161
3383,0,0.33,1,0,gucci,jellies,266
3425,0,0.45,12,0,natori,natori hosiery,13
3506,0,0.8,3,0,polo ralph lauren,boy tops,35
3824,0,0.91,1,0,lavish alice,cocktail dress,140
3825,0,0.93,5,0,nude glass,dropship serveware,41
3858,0,0.82,1,0,chanel,chanel body,91
3939,0,0.52,2,0,bottega veneta,small leather goods,560
3940,0,0.87,4,0,cartier,cartier eyewear,697
3941,0,0.86,1,0,alexanderwang.t,skirt,228
4034,0,0.98,1,0,christian louboutin,booties,907
4191,0,0.59,1,0,gucci,gucci sunglasses,315
4223,0,0.98,4,0,storksak,diaper bags,137
4730,0,0.85,12,0,re/done,straight,193
4738,0,0.56,1,0,iscream,bedding,26
4845,0,0.63,4,0,izayla,tops,270
5194,0,0.31,3,0,polo ralph lauren,swim,60
5322,0,0.43,1,0,chiara boni la petite robe,gown,763
5478,0,0.76,1,0,chiara boni la petite robe,gown,763
5570,0,0.39,7,0,chiara boni la petite robe,gown,763
5579,0,0.73,2,0,ulla johnson,dresses,592
5628,0,0.99,3,0,something navy,dresses,137
5651,0,0.97,13,0,theia,cocktail dress,557
5715,0,0.88,1,0,rhode,dresses,312
5720,0,0.37,2,0,kenneth jay lane,earrings,70
5736,0,0.62,1,0,moussy vintage,skinny,252
5737,0,0.3,32,0,generation love,blouse,139
5978,0,0.79,11,0,magali pascal,dresses,382
6000,0,0.65,1,0,magali pascal,dresses,382
6732,0,0.54,6,0,canada goose,canada goose (outerwear),805
6858,0,0.92,1,0,gottex swimwear,short coverup (swimwear),69
6861,0,0.54,3,0,la doublej,dresses,347
6920,0,0.74,1,0,chiara boni la petite robe,gown,763
6923,0,0.35,6,0,dolce&gabbana,polo,347
7214,0,0.94,3,0,mac duggal,gown,279
7391,0,0.74,2,0,balmain,t-shirt,245
7403,0,0.44,1,0,design history,girl tops,23
7430,0,0.95,1,0,elie tahari,jacket,347
7493,0,0.7,1,0,shani,cocktail dress,269
7787,0,0.78,1,0,milly,cover up tops,105
7834,0,0.69,1,0,atm anthony thomas melillo,long sleeve t,116
7858,0,0.47,1,0,ramy brook,bathing suit bottom,76
8230,0,0.89,2,0,frame,shorts,125
8519,0,0.61,3,0,good american,dresses,69
8537,0,0.48,3,0,rag & bone,boyfriend (rtw),139
8568,0,0.82,4,0,cinq a sept,dresses,487
8578,0,0.49,4,0,cinq a sept,dresses,487
8616,0,0.88,4,0,theia,gown,907
8701,0,0.38,1,0,theia,gown,907
8712,0,0.47,2,0,chloe,chloe shoulder (handbags),1295
8884,0,0.34,3,0,slvrlake,straight,230
9093,0,0.97,7,0,fendi,slings,665
9505,0,0.67,5,0,brunello cucinelli,sneakers (footwear),557
9521,0,0.77,1,0,tadashi shoji,gown,440
9572,0,0.53,2,0,re/done,straight,186
9642,0,0.72,1,0,johnny was,1 pc bathing suit,139
9693,0,0.94,19,0,lilly pulitzer,dresses,125
9704,0,0.89,1,0,mc2 saint barth,mc2 st barth swim,76
9833,0,0.4,1,0,kiyonna,dresses,90
9902,0,0.5,5,0,kiki de montparnasse,kiki de montparnasse (intimate,97
9945,0,0.35,3,0,alexander mcqueen,wedges,763
10003,0,0.6,5,0,secret mission,blouse,209
10327,0,0.31,2,0,polo ralph lauren,polo knits,35
10329,0,0.42,1,0,johnny was,dresses,223
11518,0,0.99,1,0,johnny was,dresses,223
11984,0,0.77,1,0,good american,dresses,97
11986,0,0.56,2,0,valentino garavani,booties,875
12032,0,0.75,8,0,miraclesuit swim,1 pc bathing suit,125
12037,0,0.76,7,0,alexis,dresses,396
12261,0,0.89,6,0,veronica beard,dresses,279
12357,0,0.53,1,0,milly,dresses,277
12568,0,0.73,2,0,shiseido,treatment,25
12825,0,0.41,3,0,manolo blahnik,mules,907
13023,0,0.95,2,0,bottega veneta,fashion leather (handbags),875
13034,0,0.78,2,0,lilly pulitzer,short coverup (swimwear),83
13046,0,0.58,8,0,twenty montreal,legging,102
13055,0,0.51,1,0,solid & striped,bathing suit top,76
13319,0,0.5,6,0,rebecca minkoff,rebecca minkoff handbags,209
13463,0,0.85,1,0,rebecca minkoff,rebecca minkoff handbags,209
13480,0,0.36,1,0,fear of god,knits,175
13555,0,0.95,4,0,alice + olivia,blouse,207
13599,0,0.69,1,0,barbour,barbour (sportswear),60
13655,0,0.72,14,0,saloni,dresses,417
13668,0,0.82,3,0,to boot new york,casual lace leather sole,123
14087,0,0.48,9,0,alexander mcqueen,sneakers,406
14123,0,0.62,1,0,valentino garavani,sneakers (footwear),623
14297,0,0.99,1,0,cinq a sept,jacket,347
14461,0,0.52,1,0,cinq a sept,jacket,347
14642,0,0.79,1,0,sol angeles,pants,83
14836,0,0.37,1,0,agua by agua bendita,bathing suit top,112
14924,0,0.43,7,0,alice + olivia,dresses,207
15363,0,0.7,1,0,melissa odabash,bathing suit top,77
15457,0,0.74,1,0,la prairie,la prairie swiss cellular,595
15634,0,0.46,1,0,reiss,dresses,231
15635,0,0.65,3,0,officine generale,sweater,235
15653,0,0.45,1,0,mother,crop,174
15715,0,0.66,2,0,badgley mischka,cocktail dress,525
15783,0,0.64,1,0,saks fifth avenue,modern trousers,160
15882,0,0.54,1,0,co,dresses,697
16090,0,0.3,8,0,dr. martens,boots (footwear),105
16127,0,0.49,2,0,akris punto,jacket,903
16268,0,0.85,2,0,norma kamali,1 pc bathing suit,105
16282,0,0.8,1,0,sofia cashmere,outerwear,1397
16655,0,0.59,1,0,cala de la cruz,long coverup (swimwear),368
16657,0,0.48,2,0,anine bing,knits,125
16833,0,0.9,9,0,kiehl's since 1851,kiehlsbodymoisturizers,17
17111,0,0.63,1,0,kiehl's since 1851,kiehlsbodymoisturizers,16
17202,0,0.4,1,0,kiehl's since 1851,kiehlsbodymoisturizers,22
17276,0,0.46,1,0,kiehl's since 1851,kiehlsbodymoisturizers,17
17402,0,0.4,1,0,milly,pants,158
17530,0,0.46,1,0,ml monique lhuillier,gown,490
17699,0,0.6,2,0,mc2 saint barth,mc2 st barth swim,37
17765,0,0.59,1,0,natori,natori,98
17789,0,0.38,2,0,barbie,plush/dolls,14
18127,0,0.99,2,0,dolce&gabbana,boots (footwear),1817
18205,0,0.7,1,0,frye,frye briefcase,265
18352,0,0.93,1,0,gucci,jellies,252
18680,0,1,1,0,kiehl's since 1851,kiehlsfacialmoisturizer,38
18742,0,0.61,1,0,elie tahari,pants,186
18789,0,0.8,1,0,camilla,cover up tops,314
18790,0,0.78,1,0,the fullest,fullest wellness supplements,39
19156,0,0.52,2,0,elie tahari,cardigan,277
19186,0,0.62,1,0,shiseido,treatment,18
19187,0,0.91,1,0,alice + olivia,dresses,557
19188,0,0.95,1,0,roller rabbit,giftsets,67
19198,0,0.62,2,0,vineyard vines,vineyard vines apparel,60
19460,0,0.92,1,0,iittala,dropship serveware,19
19602,0,0.67,1,0,helmut lang,sweatpant,224
19715,0,0.36,7,0,levi's,shorts,49
19778,0,0.48,1,0,alice + olivia,denim,277
19788,0,0.38,1,0,burberry,knit,672
291,0,0.31,1,0,bottega veneta,fashion leather (handbags),1120
1802,0,0.53,1,0,bottega veneta,fashion leather (handbags),875
2539,0,0.4,2,0,bottega veneta,fashion leather (handbags),1365
2593,0,0.87,1,0,bottega veneta,fashion leather (handbags),2415
4491,0,0.42,1,0,fendi,fendi thelios sunglasses,364
5080,0,0.77,1,0,theory,pants,228
5347,0,0.76,2,0,free people,dresses,90
6808,0,0.41,1,0,free people,dresses,90
7200,0,0.92,1,0,ulla johnson,dresses,343
8480,0,0.38,25,0,off-white,outerwear,1677
10317,0,0.74,2,0,off-white,knit,263
11246,0,0.44,2,0,ml monique lhuillier,cocktail dress,382
11247,0,0.41,2,0,chiara boni la petite robe,cocktail dress,487
13501,0,0.39,2,0,yamazaki,home organization,15
14528,0,0.45,1,0,yamazaki,home organization,15
15651,0,0.78,17,0,alice + olivia,shorts,207
16043,0,0.43,2,0,bottega veneta,flat sandals,623
16535,0,0.74,1,0,prada,high heel sandals,945
18850,0,0.7,3,0,st. john,jacket,1187
19432,0,0.62,1,0,alice + olivia,pants,137
19648,0,0.76,1,0,alice + olivia,pants,137
16187,0,0.73,3,0,burberry,dress,126
2772,0,0.45,23,0,to boot new york,boots weather,279
10907,0,0.47,342,0,simon miller,shorts,172
11526,0,0.43,1,0,clinique,clinique treatment,60
16565,0,0.81,1,0,loeffler randall,high heel sandals,277
